Name,Roll No,Reg No,Semester,Section,Year
Pooja Pandey,MBAX24R089,SBU247526,3,D,2025-2026
Richa Agarwal,MBAX24R090,SBU249540,3,D,2025-2026
Rohan Joshi,MBAX24R091,SBU240809,3,D,2025-2026
Mohit Desai,MBAX24R092,SBU245938,3,D,2025-2026
Ishita Mishra,MBAX24R093,SBU240432,3,D,2025-2026
Prateek Yadav,MBAX24R094,SBU249536,3,D,2025-2026
Vikram Kaur,MBAX24R095,SBU245471,3,D,2025-2026
Shruti Rajput,MBAX24R096,SBU241518,3,D,2025-2026
Ishita Desai,MBAX24R097,SBU240922,3,D,2025-2026
Pooja Das,MBAX24R098,SBU247900,3,D,2025-2026
Sameer Tiwari,MBAX24R099,SBU244280,3,D,2025-2026
Tanvi Sharma,MBAX24R100,SBU242352,3,D,2025-2026
