Name,Roll No,Reg No,Semester,Section,Year
Prateek Gupta,BTCE22R091,SBU228429,8,D,2025-2026
Ravi Joshi,BTCE22R092,SBU224317,8,D,2025-2026
Ananya Kumar,BTCE22R093,SBU224095,8,D,2025-2026
Ishita Chauhan,BTCE22R094,SBU227419,8,D,2025-2026
Kavya Desai,BTCE22R095,SBU228025,8,D,2025-2026
Ishita Desai,BTCE22R096,SBU225590,8,D,2025-2026
Rohit Sen,BTCE22R097,SBU221213,8,D,2025-2026
Pooja Malhotra,BTCE22R098,SBU220363,8,D,2025-2026
Kritika Bansal,BTCE22R099,SBU221125,8,D,2025-2026
Kavya Verma,BTCE22R100,SBU222007,8,D,2025-2026
